person_verse_id,reference_id,person_label_id,person_id,person_label,person_label_count,person_verse_sequence,person_verse_notes
EXO 4:30__Aaron_1__Aaron_1_1,EXO 4:30,Aaron_1_1,Aaron_1,Aaron,1,2773,
EXO 4:30__G-d_1__G-d_1_3,EXO 4:30,G-d_1_3,G-d_1,LORD,1,2774,
EXO 4:30__Moses_1__Moses_1_1,EXO 4:30,Moses_1_1,Moses_1,Moses,1,2775,
EXO 4:31__G-d_1__G-d_1_3,EXO 4:31,G-d_1_3,G-d_1,LORD,1,2776,
EXO 4:31__Jacob_1__Jacob_1_2,EXO 4:31,Jacob_1_2,Jacob_1,Israel,1,2777,sons of Israel (the nation)
EXO 5:1__Moses_1__Moses_1_1,EXO 5:1,Moses_1_1,Moses_1,Moses,1,2778,
EXO 5:1__Aaron_1__Aaron_1_1,EXO 5:1,Aaron_1_1,Aaron_1,Aaron,1,2779,
EXO 5:1__Pharaoh_3__Pharaoh_3_1,EXO 5:1,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2780,
EXO 5:1__G-d_1__G-d_1_3,EXO 5:1,G-d_1_3,G-d_1,LORD,1,2781,
EXO 5:1__G-d_1__G-d_1_23,EXO 5:1,G-d_1_23,G-d_1,G-d of Israel,1,2782,
EXO 5:2__Pharaoh_3__Pharaoh_3_1,EXO 5:2,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2783,
EXO 5:2__G-d_1__G-d_1_3,EXO 5:2,G-d_1_3,G-d_1,LORD,2,2784,
EXO 5:3__G-d_1__G-d_1_23,EXO 5:3,G-d_1_23,G-d_1,G-d of the Hebrews,1,2785,
EXO 5:3__G-d_1__G-d_1_3,EXO 5:3,G-d_1_3,G-d_1,LORD,1,2786,
EXO 5:3__G-d_1__G-d_1_1,EXO 5:3,G-d_1_1,G-d_1,G-d,1,2787,
EXO 5:4__Pharaoh_3__Pharaoh_3_2,EXO 5:4,Pharaoh_3_2,Pharaoh_3,King of Egypt,1,2788,
EXO 5:4__Moses_1__Moses_1_1,EXO 5:4,Moses_1_1,Moses_1,Moses,1,2789,
EXO 5:4__Aaron_1__Aaron_1_1,EXO 5:4,Aaron_1_1,Aaron_1,Aaron,1,2790,
EXO 5:5__Pharaoh_3__Pharaoh_3_1,EXO 5:5,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2791,
EXO 5:6__Pharaoh_3__Pharaoh_3_1,EXO 5:6,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2792,
EXO 5:7__NA__NA,EXO 5:7,NA,NA,NA,,2793,
EXO 5:8__G-d_1__G-d_1_1,EXO 5:8,G-d_1_1,G-d_1,G-d,1,2794,
EXO 5:9__NA__NA,EXO 5:9,NA,NA,NA,,2795,
EXO 5:10__Pharaoh_3__Pharaoh_3_1,EXO 5:10,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2796,
EXO 5:11__NA__NA,EXO 5:11,NA,NA,NA,,2797,
EXO 5:12__NA__NA,EXO 5:12,NA,NA,NA,,2798,
EXO 5:13__NA__NA,EXO 5:13,NA,NA,NA,,2799,
EXO 5:14__Jacob_1__Jacob_1_2,EXO 5:14,Jacob_1_2,Jacob_1,Israel,1,2800,sons of Israel (the nation)
EXO 5:14__Pharaoh_3__Pharaoh_3_1,EXO 5:14,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2801,Pharaoh's taskmasters
EXO 5:15__Jacob_1__Jacob_1_2,EXO 5:15,Jacob_1_2,Jacob_1,Israel,1,2802,sons of Israel (the nation)
EXO 5:15__Pharaoh_3__Pharaoh_3_1,EXO 5:15,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2803,
EXO 5:16__NA__NA,EXO 5:16,NA,NA,NA,,2804,
EXO 5:17__G-d_1__G-d_1_3,EXO 5:17,G-d_1_3,G-d_1,LORD,1,2805,
EXO 5:18__NA__NA,EXO 5:18,NA,NA,NA,,2806,
EXO 5:19__Jacob_1__Jacob_1_2,EXO 5:19,Jacob_1_2,Jacob_1,Israel,1,2807,sons of Israel (the nation)
EXO 5:20__Pharaoh_3__Pharaoh_3_1,EXO 5:20,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2808,
EXO 5:20__Moses_1__Moses_1_1,EXO 5:20,Moses_1_1,Moses_1,Moses,1,2809,
EXO 5:20__Aaron_1__Aaron_1_1,EXO 5:20,Aaron_1_1,Aaron_1,Aaron,1,2810,
EXO 5:21__G-d_1__G-d_1_3,EXO 5:21,G-d_1_3,G-d_1,LORD,1,2811,
EXO 5:21__Pharaoh_3__Pharaoh_3_1,EXO 5:21,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2812,
EXO 5:22__Moses_1__Moses_1_1,EXO 5:22,Moses_1_1,Moses_1,Moses,1,2813,
EXO 5:22__G-d_1__G-d_1_3,EXO 5:22,G-d_1_3,G-d_1,LORD,1,2814,
EXO 5:23__Pharaoh_3__Pharaoh_3_1,EXO 5:23,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2815,
EXO 6:1__G-d_1__G-d_1_3,EXO 6:1,G-d_1_3,G-d_1,LORD,1,2816,
EXO 6:1__Moses_1__Moses_1_1,EXO 6:1,Moses_1_1,Moses_1,Moses,1,2817,
EXO 6:1__Pharaoh_3__Pharaoh_3_1,EXO 6:1,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2818,
EXO 6:2__G-d_1__G-d_1_1,EXO 6:2,G-d_1_1,G-d_1,G-d,1,2819,
EXO 6:2__Moses_1__Moses_1_1,EXO 6:2,Moses_1_1,Moses_1,Moses,1,2820,
EXO 6:2__G-d_1__G-d_1_3,EXO 6:2,G-d_1_3,G-d_1,LORD,1,2821,
EXO 6:3__Abram_1__Abram_1_2,EXO 6:3,Abram_1_2,Abram_1,Abraham,1,2822,
EXO 6:3__Isaac_1__Isaac_1_1,EXO 6:3,Isaac_1_1,Isaac_1,Isaac,1,2823,
EXO 6:3__Jacob_1__Jacob_1_1,EXO 6:3,Jacob_1_1,Jacob_1,Jacob,1,2824,
EXO 6:3__G-d_1__G-d_1_9,EXO 6:3,G-d_1_9,G-d_1,G-d Almighty,1,2825,
EXO 6:3__G-d_1__G-d_1_3,EXO 6:3,G-d_1_3,G-d_1,LORD,1,2826,
EXO 6:4__NA__NA,EXO 6:4,NA,NA,NA,,2827,
EXO 6:5__Jacob_1__Jacob_1_2,EXO 6:5,Jacob_1_2,Jacob_1,Israel,1,2828,sons of Israel (the nation)
EXO 6:6__Jacob_1__Jacob_1_2,EXO 6:6,Jacob_1_2,Jacob_1,Israel,1,2829,sons of Israel (the nation)
EXO 6:6__G-d_1__G-d_1_3,EXO 6:6,G-d_1_3,G-d_1,LORD,1,2830,
EXO 6:7__G-d_1__G-d_1_1,EXO 6:7,G-d_1_1,G-d_1,G-d,1,2831,
EXO 6:7__G-d_1__G-d_1_2,EXO 6:7,G-d_1_2,G-d_1,The LORD G-d,1,2832,the LORD your G-d
EXO 6:8__Abram_1__Abram_1_2,EXO 6:8,Abram_1_2,Abram_1,Abraham,1,2833,
EXO 6:8__Isaac_1__Isaac_1_1,EXO 6:8,Isaac_1_1,Isaac_1,Isaac,1,2834,
EXO 6:8__Jacob_1__Jacob_1_1,EXO 6:8,Jacob_1_1,Jacob_1,Jacob,1,2835,
EXO 6:8__G-d_1__G-d_1_3,EXO 6:8,G-d_1_3,G-d_1,LORD,1,2836,
EXO 6:9__Moses_1__Moses_1_1,EXO 6:9,Moses_1_1,Moses_1,Moses,2,2837,
EXO 6:9__Jacob_1__Jacob_1_2,EXO 6:9,Jacob_1_2,Jacob_1,Israel,1,2838,sons of Israel (the nation)
EXO 6:10__G-d_1__G-d_1_3,EXO 6:10,G-d_1_3,G-d_1,LORD,1,2839,
EXO 6:10__Moses_1__Moses_1_1,EXO 6:10,Moses_1_1,Moses_1,Moses,1,2840,
EXO 6:11__Pharaoh_3__Pharaoh_3_1,EXO 6:11,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2841,
EXO 6:11__Pharaoh_3__Pharaoh_3_2,EXO 6:11,Pharaoh_3_2,Pharaoh_3,King of Egypt,1,2842,
EXO 6:11__Jacob_1__Jacob_1_2,EXO 6:11,Jacob_1_2,Jacob_1,Israel,1,2843,sons of Israel (the nation)
EXO 6:12__Moses_1__Moses_1_1,EXO 6:12,Moses_1_1,Moses_1,Moses,1,2844,
EXO 6:12__G-d_1__G-d_1_3,EXO 6:12,G-d_1_3,G-d_1,LORD,1,2845,
EXO 6:12__Jacob_1__Jacob_1_2,EXO 6:12,Jacob_1_2,Jacob_1,Israel,1,2846,sons of Israel (the nation)
EXO 6:12__Pharaoh_3__Pharaoh_3_1,EXO 6:12,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2847,
EXO 6:13__G-d_1__G-d_1_3,EXO 6:13,G-d_1_3,G-d_1,LORD,1,2848,
EXO 6:13__Moses_1__Moses_1_1,EXO 6:13,Moses_1_1,Moses_1,Moses,1,2849,
EXO 6:13__Aaron_1__Aaron_1_1,EXO 6:13,Aaron_1_1,Aaron_1,Aaron,1,2850,
EXO 6:13__Jacob_1__Jacob_1_2,EXO 6:13,Jacob_1_2,Jacob_1,Israel,2,2851,sons of Israel (the nation)
EXO 6:13__Pharaoh_3__Pharaoh_3_1,EXO 6:13,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2852,
EXO 6:13__Pharaoh_3__Pharaoh_3_2,EXO 6:13,Pharaoh_3_2,Pharaoh_3,King of Egypt,1,2853,
EXO 6:14__Reuben_1__Reuben_1_1,EXO 6:14,Reuben_1_1,Reuben_1,Reuben,2,2854,
EXO 6:14__Jacob_1__Jacob_1_2,EXO 6:14,Jacob_1_2,Jacob_1,Israel,1,2855,
EXO 6:14__Hanoch_2__Hanoch_2_1,EXO 6:14,Hanoch_2_1,Hanoch_2,Hanoch,1,2856,
EXO 6:14__Pallu_1__Pallu_1_1,EXO 6:14,Pallu_1_1,Pallu_1,Pallu,1,2857,
EXO 6:14__Hezron_1__Hezron_1_1,EXO 6:14,Hezron_1_1,Hezron_1,Hezron,1,2858,
EXO 6:14__Carmi_1__Carmi_1_1,EXO 6:14,Carmi_1_1,Carmi_1,Carmi,1,2859,
EXO 6:15__Simeon_1__Simeon_1_1,EXO 6:15,Simeon_1_1,Simeon_1,Simeon,2,2860,
EXO 6:15__Jemuel_1__Jemuel_1_1,EXO 6:15,Jemuel_1_1,Jemuel_1,Jemuel,1,2861,
EXO 6:15__Jamin_1__Jamin_1_1,EXO 6:15,Jamin_1_1,Jamin_1,Jamin,1,2862,
EXO 6:15__Ohad_1__Ohad_1_1,EXO 6:15,Ohad_1_1,Ohad_1,Ohad,1,2863,
EXO 6:15__Jachin_1__Jachin_1_1,EXO 6:15,Jachin_1_1,Jachin_1,Jachin,1,2864,
EXO 6:15__Zohar_2__Zohar_2_1,EXO 6:15,Zohar_2_1,Zohar_2,Zohar,1,2865,
EXO 6:15__Shaul_2__Shaul_2_1,EXO 6:15,Shaul_2_1,Shaul_2,Shaul,1,2866,
EXO 6:16__Levi_1__Levi_1_1,EXO 6:16,Levi_1_1,Levi_1,Levi,2,2867,
EXO 6:16__Gershon_1__Gershon_1_1,EXO 6:16,Gershon_1_1,Gershon_1,Gershon,1,2868,
EXO 6:16__Kohath_1__Kohath_1_1,EXO 6:16,Kohath_1_1,Kohath_1,Kohath,1,2869,
EXO 6:16__Merari_1__Merari_1_1,EXO 6:16,Merari_1_1,Merari_1,Merari,1,2870,
EXO 6:17__Gershon_1__Gershon_1_1,EXO 6:17,Gershon_1_1,Gershon_1,Gershon,1,2871,
EXO 6:17__Libni_1__Libni_1_1,EXO 6:17,Libni_1_1,Libni_1,Libni,1,2872,
EXO 6:17__Shimei_1__Shimei_1_1,EXO 6:17,Shimei_1_1,Shimei_1,Shimei,1,2873,
EXO 6:18__Kohath_1__Kohath_1_1,EXO 6:18,Kohath_1_1,Kohath_1,Kohath,2,2874,
EXO 6:18__Amram_1__Amram_1_1,EXO 6:18,Amram_1_1,Amram_1,Amram,1,2875,
EXO 6:18__Izhar_1__Izhar_1_1,EXO 6:18,Izhar_1_1,Izhar_1,Izhar,1,2876,
EXO 6:18__Hebron_1__Hebron_1_1,EXO 6:18,Hebron_1_1,Hebron_1,Hebron,1,2877,
EXO 6:18__Uzziel_1__Uzziel_1_1,EXO 6:18,Uzziel_1_1,Uzziel_1,Uzziel,1,2878,
EXO 6:19__Merari_1__Merari_1_1,EXO 6:19,Merari_1_1,Merari_1,Merari,1,2879,
EXO 6:19__Mahli_1__Mahli_1_1,EXO 6:19,Mahli_1_1,Mahli_1,Mahli,1,2880,
EXO 6:19__Mushi_1__Mushi_1_1,EXO 6:19,Mushi_1_1,Mushi_1,Mushi,1,2881,
EXO 6:20__Amram_1__Amram_1_1,EXO 6:20,Amram_1_1,Amram_1,Amram,1,2882,
EXO 6:20__Jochebed_1__Jochebed_1_1,EXO 6:20,Jochebed_1_1,Jochebed_1,Jochebed,1,2883,
EXO 6:20__Aaron_1__Aaron_1_1,EXO 6:20,Aaron_1_1,Aaron_1,Aaron,1,2884,
EXO 6:20__Moses_1__Moses_1_1,EXO 6:20,Moses_1_1,Moses_1,Moses,1,2885,
EXO 6:21__Izhar_1__Izhar_1_1,EXO 6:21,Izhar_1_1,Izhar_1,Izhar,1,2886,
EXO 6:21__Korah_3__Korah_3_1,EXO 6:21,Korah_3_1,Korah_3,Korah,1,2887,
EXO 6:21__Nepheg_1__Nepheg_1_1,EXO 6:21,Nepheg_1_1,Nepheg_1,Nepheg,1,2888,
EXO 6:21__Zichri_1__Zichri_1_1,EXO 6:21,Zichri_1_1,Zichri_1,Zichri,1,2889,
EXO 6:22__Uzziel_1__Uzziel_1_1,EXO 6:22,Uzziel_1_1,Uzziel_1,Uzziel,1,2890,
EXO 6:22__Mishael_1__Mishael_1_1,EXO 6:22,Mishael_1_1,Mishael_1,Mishael,1,2891,
EXO 6:22__Elzaphan_1__Elzaphan_1_1,EXO 6:22,Elzaphan_1_1,Elzaphan_1,Elzaphan,1,2892,
EXO 6:22__Sithri_1__Sithri_1_1,EXO 6:22,Sithri_1_1,Sithri_1,Sithri,1,2893,
EXO 6:23__Aaron_1__Aaron_1_1,EXO 6:23,Aaron_1_1,Aaron_1,Aaron,1,2894,
EXO 6:23__Elisheba_1__Elisheba_1_1,EXO 6:23,Elisheba_1_1,Elisheba_1,Elisheba,1,2895,
EXO 6:23__Amminadab_1__Amminadab_1_1,EXO 6:23,Amminadab_1_1,Amminadab_1,Amminadab,1,2896,
EXO 6:23__Nahshon_1__Nahshon_1_1,EXO 6:23,Nahshon_1_1,Nahshon_1,Nahshon,1,2897,
EXO 6:23__Nadab_1__Nadab_1_1,EXO 6:23,Nadab_1_1,Nadab_1,Nadab,1,2898,
EXO 6:23__Abihu_1__Abihu_1_1,EXO 6:23,Abihu_1_1,Abihu_1,Abihu,1,2899,
EXO 6:23__Eleazar_1__Eleazar_1_1,EXO 6:23,Eleazar_1_1,Eleazar_1,Eleazar,1,2900,
EXO 6:23__Ithamar_1__Ithamar_1_1,EXO 6:23,Ithamar_1_1,Ithamar_1,Ithamar,1,2901,
EXO 6:24__Korah_3__Korah_3_1,EXO 6:24,Korah_3_1,Korah_3,Korah,1,2902,
EXO 6:24__Assir_1__Assir_1_1,EXO 6:24,Assir_1_1,Assir_1,Assir,1,2903,
EXO 6:24__Elkanah_1__Elkanah_1_1,EXO 6:24,Elkanah_1_1,Elkanah_1,Elkanah,1,2904,
EXO 6:24__Abiasaph_1__Abiasaph_1_1,EXO 6:24,Abiasaph_1_1,Abiasaph_1,Abiasaph,1,2905,
EXO 6:25__Aaron_1__Aaron_1_1,EXO 6:25,Aaron_1_1,Aaron_1,Aaron,1,2906,
EXO 6:25__Eleazar_1__Eleazar_1_1,EXO 6:25,Eleazar_1_1,Eleazar_1,Eleazar,1,2907,
EXO 6:25__Putiel_1__Putiel_1_1,EXO 6:25,Putiel_1_1,Putiel_1,Putiel,1,2908,
EXO 6:25__Phinehas_1__Phinehas_1_1,EXO 6:25,Phinehas_1_1,Phinehas_1,Phinehas,1,2909,
EXO 6:26__Aaron_1__Aaron_1_1,EXO 6:26,Aaron_1_1,Aaron_1,Aaron,1,2910,
EXO 6:26__Moses_1__Moses_1_1,EXO 6:26,Moses_1_1,Moses_1,Moses,1,2911,
EXO 6:26__G-d_1__G-d_1_3,EXO 6:26,G-d_1_3,G-d_1,LORD,1,2912,
EXO 6:26__Jacob_1__Jacob_1_2,EXO 6:26,Jacob_1_2,Jacob_1,Israel,1,2913,sons of Israel (the nation)
EXO 6:27__Pharaoh_3__Pharaoh_3_1,EXO 6:27,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2914,
EXO 6:27__Pharaoh_3__Pharaoh_3_2,EXO 6:27,Pharaoh_3_2,Pharaoh_3,King of Egypt,1,2915,
EXO 6:27__Jacob_1__Jacob_1_2,EXO 6:27,Jacob_1_2,Jacob_1,Israel,1,2916,sons of Israel (the nation)
EXO 6:27__Moses_1__Moses_1_1,EXO 6:27,Moses_1_1,Moses_1,Moses,1,2917,
EXO 6:27__Aaron_1__Aaron_1_1,EXO 6:27,Aaron_1_1,Aaron_1,Aaron,1,2918,
EXO 6:28__G-d_1__G-d_1_3,EXO 6:28,G-d_1_3,G-d_1,LORD,1,2919,
EXO 6:28__Moses_1__Moses_1_1,EXO 6:28,Moses_1_1,Moses_1,Moses,1,2920,
EXO 6:29__G-d_1__G-d_1_3,EXO 6:29,G-d_1_3,G-d_1,LORD,2,2921,
EXO 6:29__Moses_1__Moses_1_1,EXO 6:29,Moses_1_1,Moses_1,Moses,1,2922,
EXO 6:29__Pharaoh_3__Pharaoh_3_1,EXO 6:29,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2923,
EXO 6:29__Pharaoh_3__Pharaoh_3_2,EXO 6:29,Pharaoh_3_2,Pharaoh_3,King of Egypt,1,2924,
EXO 6:30__Moses_1__Moses_1_1,EXO 6:30,Moses_1_1,Moses_1,Moses,1,2925,
EXO 6:30__G-d_1__G-d_1_3,EXO 6:30,G-d_1_3,G-d_1,LORD,1,2926,
EXO 6:30__Pharaoh_3__Pharaoh_3_1,EXO 6:30,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2927,
EXO 7:1__G-d_1__G-d_1_3,EXO 7:1,G-d_1_3,G-d_1,LORD,2,2928,
EXO 7:1__Moses_1__Moses_1_1,EXO 7:1,Moses_1_1,Moses_1,Moses,1,2929,
EXO 7:1__G-d_1__G-d_1_1,EXO 7:1,G-d_1_1,G-d_1,G-d,1,2930,
EXO 7:1__Pharaoh_3__Pharaoh_3_1,EXO 7:1,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2931,
EXO 7:1__Aaron_1__Aaron_1_1,EXO 7:1,Aaron_1_1,Aaron_1,Aaron,1,2932,
EXO 7:2__Aaron_1__Aaron_1_1,EXO 7:2,Aaron_1_1,Aaron_1,Aaron,1,2933,
EXO 7:2__Pharaoh_3__Pharaoh_3_1,EXO 7:2,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2934,
EXO 7:3__Pharaoh_3__Pharaoh_3_1,EXO 7:3,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2935,
EXO 7:4__Pharaoh_3__Pharaoh_3_1,EXO 7:4,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2936,
EXO 7:4__Jacob_1__Jacob_1_2,EXO 7:4,Jacob_1_2,Jacob_1,Israel,1,2937,"My hosts, My people the sons of Israel (the nation)"
EXO 7:5__G-d_1__G-d_1_3,EXO 7:5,G-d_1_3,G-d_1,LORD,2,2938,
EXO 7:5__Jacob_1__Jacob_1_2,EXO 7:5,Jacob_1_2,Jacob_1,Israel,1,2939,sons of Israel (the nation)
EXO 7:6__Moses_1__Moses_1_1,EXO 7:6,Moses_1_1,Moses_1,Moses,1,2940,
EXO 7:6__Aaron_1__Aaron_1_1,EXO 7:6,Aaron_1_1,Aaron_1,Aaron,1,2941,
EXO 7:6__G-d_1__G-d_1_3,EXO 7:6,G-d_1_3,G-d_1,LORD,2,2942,
EXO 7:7__Moses_1__Moses_1_1,EXO 7:7,Moses_1_1,Moses_1,Moses,1,2943,
EXO 7:7__Aaron_1__Aaron_1_1,EXO 7:7,Aaron_1_1,Aaron_1,Aaron,1,2944,
EXO 7:7__Pharaoh_3__Pharaoh_3_1,EXO 7:7,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2945,
EXO 7:8__G-d_1__G-d_1_3,EXO 7:8,G-d_1_3,G-d_1,LORD,2,2946,
EXO 7:8__Moses_1__Moses_1_1,EXO 7:8,Moses_1_1,Moses_1,Moses,1,2947,
EXO 7:8__Aaron_1__Aaron_1_1,EXO 7:8,Aaron_1_1,Aaron_1,Aaron,1,2948,
EXO 7:9__Pharaoh_3__Pharaoh_3_1,EXO 7:9,Pharaoh_3_1,Pharaoh_3,Pharaoh,2,2949,
EXO 7:9__Aaron_1__Aaron_1_1,EXO 7:9,Aaron_1_1,Aaron_1,Aaron,1,2950,
EXO 7:10__Moses_1__Moses_1_1,EXO 7:10,Moses_1_1,Moses_1,Moses,1,2951,
EXO 7:10__Aaron_1__Aaron_1_1,EXO 7:10,Aaron_1_1,Aaron_1,Aaron,2,2952,
EXO 7:10__Pharaoh_3__Pharaoh_3_1,EXO 7:10,Pharaoh_3_1,Pharaoh_3,Pharaoh,2,2953,
EXO 7:10__G-d_1__G-d_1_3,EXO 7:10,G-d_1_3,G-d_1,LORD,1,2954,
EXO 7:11__Pharaoh_3__Pharaoh_3_1,EXO 7:11,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2955,
EXO 7:12__Aaron_1__Aaron_1_1,EXO 7:12,Aaron_1_1,Aaron_1,Aaron,1,2956,
EXO 7:13__Pharaoh_3__Pharaoh_3_1,EXO 7:13,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2957,
EXO 7:13__G-d_1__G-d_1_3,EXO 7:13,G-d_1_3,G-d_1,LORD,1,2958,
EXO 7:14__G-d_1__G-d_1_3,EXO 7:14,G-d_1_3,G-d_1,LORD,1,2959,
EXO 7:14__Moses_1__Moses_1_1,EXO 7:14,Moses_1_1,Moses_1,Moses,1,2960,
EXO 7:14__Pharaoh_3__Pharaoh_3_1,EXO 7:14,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2961,
EXO 7:15__Pharaoh_3__Pharaoh_3_1,EXO 7:15,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2962,
EXO 7:16__G-d_1__G-d_1_3,EXO 7:16,G-d_1_3,G-d_1,LORD,1,2963,
EXO 7:16__G-d_1__G-d_1_23,EXO 7:16,G-d_1_23,G-d_1,G-d of the Hebrews,1,2964,
EXO 7:17__G-d_1__G-d_1_3,EXO 7:17,G-d_1_3,G-d_1,LORD,2,2965,
EXO 7:18__NA__NA,EXO 7:18,NA,NA,NA,,2966,
EXO 7:19__G-d_1__G-d_1_3,EXO 7:19,G-d_1_3,G-d_1,LORD,1,2967,
EXO 7:19__Moses_1__Moses_1_1,EXO 7:19,Moses_1_1,Moses_1,Moses,1,2968,
EXO 7:19__Aaron_1__Aaron_1_1,EXO 7:19,Aaron_1_1,Aaron_1,Aaron,1,2969,
EXO 7:20__Moses_1__Moses_1_1,EXO 7:20,Moses_1_1,Moses_1,Moses,1,2970,
EXO 7:20__Aaron_1__Aaron_1_1,EXO 7:20,Aaron_1_1,Aaron_1,Aaron,1,2971,
EXO 7:20__G-d_1__G-d_1_3,EXO 7:20,G-d_1_3,G-d_1,LORD,1,2972,
EXO 7:20__Pharaoh_3__Pharaoh_3_1,EXO 7:20,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2973,
EXO 7:21__NA__NA,EXO 7:21,NA,NA,NA,,2974,
EXO 7:22__Pharaoh_3__Pharaoh_3_1,EXO 7:22,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2975,
EXO 7:22__G-d_1__G-d_1_3,EXO 7:22,G-d_1_3,G-d_1,LORD,1,2976,
EXO 7:23__Pharaoh_3__Pharaoh_3_1,EXO 7:23,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2977,
EXO 7:24__NA__NA,EXO 7:24,NA,NA,NA,,2978,
EXO 7:25__G-d_1__G-d_1_3,EXO 7:25,G-d_1_3,G-d_1,LORD,1,2979,
EXO 8:1__G-d_1__G-d_1_3,EXO 8:1,G-d_1_3,G-d_1,LORD,2,2980,
EXO 8:1__Moses_1__Moses_1_1,EXO 8:1,Moses_1_1,Moses_1,Moses,1,2981,
EXO 8:1__Pharaoh_3__Pharaoh_3_1,EXO 8:1,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2982,
EXO 8:2__NA__NA,EXO 8:2,NA,NA,NA,,2983,
EXO 8:3__NA__NA,EXO 8:3,NA,NA,NA,,2984,
EXO 8:4__NA__NA,EXO 8:4,NA,NA,NA,,2985,
EXO 8:5__G-d_1__G-d_1_3,EXO 8:5,G-d_1_3,G-d_1,LORD,1,2986,
EXO 8:5__Moses_1__Moses_1_1,EXO 8:5,Moses_1_1,Moses_1,Moses,1,2987,
EXO 8:5__Aaron_1__Aaron_1_1,EXO 8:5,Aaron_1_1,Aaron_1,Aaron,1,2988,
EXO 8:6__Aaron_1__Aaron_1_1,EXO 8:6,Aaron_1_1,Aaron_1,Aaron,1,2989,
EXO 8:7__NA__NA,EXO 8:7,NA,NA,NA,,2990,
EXO 8:8__Pharaoh_3__Pharaoh_3_1,EXO 8:8,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2991,
EXO 8:8__Moses_1__Moses_1_1,EXO 8:8,Moses_1_1,Moses_1,Moses,1,2992,
EXO 8:8__Aaron_1__Aaron_1_1,EXO 8:8,Aaron_1_1,Aaron_1,Aaron,1,2993,
EXO 8:8__G-d_1__G-d_1_3,EXO 8:8,G-d_1_3,G-d_1,LORD,2,2994,
EXO 8:9__Moses_1__Moses_1_1,EXO 8:9,Moses_1_1,Moses_1,Moses,1,2995,
EXO 8:9__Pharaoh_3__Pharaoh_3_1,EXO 8:9,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2996,
EXO 8:10__G-d_1__G-d_1_3,EXO 8:10,G-d_1_3,G-d_1,LORD,1,2997,
EXO 8:10__G-d_1__G-d_1_1,EXO 8:10,G-d_1_1,G-d_1,G-d,1,2998,
EXO 8:11__NA__NA,EXO 8:11,NA,NA,NA,,2999,
EXO 8:12__Moses_1__Moses_1_1,EXO 8:12,Moses_1_1,Moses_1,Moses,2,3000,
EXO 8:12__Aaron_1__Aaron_1_1,EXO 8:12,Aaron_1_1,Aaron_1,Aaron,1,3001,
EXO 8:12__G-d_1__G-d_1_3,EXO 8:12,G-d_1_3,G-d_1,LORD,1,3002,
EXO 8:12__Pharaoh_3__Pharaoh_3_1,EXO 8:12,Pharaoh_3_1,Pharaoh_3,Pharaoh,2,3003,
EXO 8:13__G-d_1__G-d_1_3,EXO 8:13,G-d_1_3,G-d_1,LORD,1,3004,
EXO 8:13__Moses_1__Moses_1_1,EXO 8:13,Moses_1_1,Moses_1,Moses,1,3005,
EXO 8:14__NA__NA,EXO 8:14,NA,NA,NA,,3006,
EXO 8:15__Pharaoh_3__Pharaoh_3_1,EXO 8:15,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,3007,
EXO 8:15__G-d_1__G-d_1_3,EXO 8:15,G-d_1_3,G-d_1,LORD,1,3008,
EXO 8:16__G-d_1__G-d_1_3,EXO 8:16,G-d_1_3,G-d_1,LORD,1,3009,
EXO 8:16__Moses_1__Moses_1_1,EXO 8:16,Moses_1_1,Moses_1,Moses,1,3010,
EXO 8:16__Aaron_1__Aaron_1_1,EXO 8:16,Aaron_1_1,Aaron_1,Aaron,1,3011,
